German,English
ich,I
seine,his
für,for
sie,they
sein,be
bei,at
ein,one
dies,this
aus,from
durch,by
Wort,word
aber,but
ist,is
hatte,had
von,of
und,and
bei,in
andere,other
waren,were
tun,do
ihre,their
Zeit,time
wenn,if
wie,how
jeder,each
sagen,tell
tut,does
Satz,set
drei,three
wollen,want
Luft,air
auch,also
klein,small
setzen,put
lesen,read
seits,hand
groß,large
buchstabieren,spell
hinzufügen,add
auch,even
Lande,land
muss,must
groß,big
hoch,high
Veränderung,change
ging,went
Licht,light
Art,kind
müssen,need
Haus,house
versuchen,try
uns,us
wieder,again
Punkt,point
Welt,world
in der Nähe von,near
bauen,build
Erde,earth
jeder,any
neu,new
Teil,part
nehmen,take
erhalten,get
gemacht,made
leben,live
nach,after
zurück,back
nur,only
Jahr,year
kam,came
jeder,every
gut,good
geben,give
unter,under
Name,name
sehr,very
durch,through
Formular,form
Satz,sentence
groß,great
denken,think
Hilfe,help
wiederum,turn
Ursache,cause
vor,before
Recht,right
alt,old
zu,too
gleich,same
sie,she
alle,all
wenn,when
nach oben,up
Verwendung,use
Weg,way
sie,them
so,so
sehen,see
ihm,him
hat,has
suchen,look
mehr,more
Tag,day
könnte,could
Anzahl,number
nicht,no
am meisten,most
wissen,know
Wasser,water
als,than
Anruf,call
erste,first
die,who
können,may
nach unten,down
finden,find
Kopf,head
besitzen,own
Seite,page
sollte,should
Land,country
gefunden,found
Antwort,answer
Schule,school
wachsen,grow
Studie,study
Anlage,plant
Abdeckung,cover
zwischen,between
halten,keep
Auge,eye
nie,never
letzte,last
Gedanken,thought
Stadt,city
Baum,tree
schwer,hard
Beginn,start
Säge,saw
Meer,sea
während,while
Presse,press
Schließen,close
