week,statuses,logins,registrations
2023-12-28 23:00:03,108515,69358,1893
2023-12-21 23:00:03,650496,143451,10595
2023-12-14 23:00:03,714604,155493,12530
2023-12-07 23:00:03,691632,141891,9979
2023-11-30 23:00:03,706481,142814,10100
2023-11-23 23:00:03,676112,144774,11092
2023-11-16 23:00:03,700381,144963,11512
2023-11-09 23:00:03,673383,147988,12195
2023-11-02 23:00:03,666709,146543,10872
2023-10-26 23:00:03,688420,151705,12488
2023-10-19 23:00:03,696037,150109,12514
2023-10-12 23:00:03,701353,150933,12483
