history_day,history_accounts,history_uses,name,url
2023-12-29 00:00:00+00:00,197,646,shortenthemovieplot,https://mastodon.social/tags/shortenthemovieplot
2023-12-28 00:00:00+00:00,0,0,shortenthemovieplot,https://mastodon.social/tags/shortenthemovieplot
2023-12-27 00:00:00+00:00,0,0,shortenthemovieplot,https://mastodon.social/tags/shortenthemovieplot
2023-12-26 00:00:00+00:00,0,0,shortenthemovieplot,https://mastodon.social/tags/shortenthemovieplot
2023-12-25 00:00:00+00:00,0,0,shortenthemovieplot,https://mastodon.social/tags/shortenthemovieplot
2023-12-24 00:00:00+00:00,0,0,shortenthemovieplot,https://mastodon.social/tags/shortenthemovieplot
2023-12-23 00:00:00+00:00,0,0,shortenthemovieplot,https://mastodon.social/tags/shortenthemovieplot
2023-12-29 00:00:00+00:00,308,337,Fensterfreitag,https://mastodon.social/tags/fensterfreitag
2023-12-28 00:00:00+00:00,8,8,Fensterfreitag,https://mastodon.social/tags/fensterfreitag
2023-12-27 00:00:00+00:00,2,2,Fensterfreitag,https://mastodon.social/tags/fensterfreitag
2023-12-26 00:00:00+00:00,2,2,Fensterfreitag,https://mastodon.social/tags/fensterfreitag
2023-12-25 00:00:00+00:00,0,0,Fensterfreitag,https://mastodon.social/tags/fensterfreitag
2023-12-24 00:00:00+00:00,0,0,Fensterfreitag,https://mastodon.social/tags/fensterfreitag
2023-12-23 00:00:00+00:00,21,21,Fensterfreitag,https://mastodon.social/tags/fensterfreitag
2023-12-29 00:00:00+00:00,136,145,WindowFriday,https://mastodon.social/tags/windowfriday
2023-12-28 00:00:00+00:00,4,4,WindowFriday,https://mastodon.social/tags/windowfriday
2023-12-27 00:00:00+00:00,1,1,WindowFriday,https://mastodon.social/tags/windowfriday
2023-12-26 00:00:00+00:00,0,0,WindowFriday,https://mastodon.social/tags/windowfriday
2023-12-25 00:00:00+00:00,0,0,WindowFriday,https://mastodon.social/tags/windowfriday
2023-12-24 00:00:00+00:00,0,0,WindowFriday,https://mastodon.social/tags/windowfriday
2023-12-23 00:00:00+00:00,15,15,WindowFriday,https://mastodon.social/tags/windowfriday
2023-12-29 00:00:00+00:00,57,168,JukeboxFridayNight,https://mastodon.social/tags/jukeboxfridaynight
2023-12-28 00:00:00+00:00,0,0,JukeboxFridayNight,https://mastodon.social/tags/jukeboxfridaynight
2023-12-27 00:00:00+00:00,0,0,JukeboxFridayNight,https://mastodon.social/tags/jukeboxfridaynight
2023-12-26 00:00:00+00:00,0,0,JukeboxFridayNight,https://mastodon.social/tags/jukeboxfridaynight
2023-12-25 00:00:00+00:00,0,0,JukeboxFridayNight,https://mastodon.social/tags/jukeboxfridaynight
2023-12-24 00:00:00+00:00,0,0,JukeboxFridayNight,https://mastodon.social/tags/jukeboxfridaynight
2023-12-23 00:00:00+00:00,3,4,JukeboxFridayNight,https://mastodon.social/tags/jukeboxfridaynight
2023-12-29 00:00:00+00:00,51,154,endingsandbeginnings,https://mastodon.social/tags/endingsandbeginnings
2023-12-28 00:00:00+00:00,0,0,endingsandbeginnings,https://mastodon.social/tags/endingsandbeginnings
2023-12-27 00:00:00+00:00,0,0,endingsandbeginnings,https://mastodon.social/tags/endingsandbeginnings
2023-12-26 00:00:00+00:00,0,0,endingsandbeginnings,https://mastodon.social/tags/endingsandbeginnings
2023-12-25 00:00:00+00:00,0,0,endingsandbeginnings,https://mastodon.social/tags/endingsandbeginnings
2023-12-24 00:00:00+00:00,0,0,endingsandbeginnings,https://mastodon.social/tags/endingsandbeginnings
2023-12-23 00:00:00+00:00,0,0,endingsandbeginnings,https://mastodon.social/tags/endingsandbeginnings
2023-12-29 00:00:00+00:00,73,87,vendredilecture,https://mastodon.social/tags/vendredilecture
2023-12-28 00:00:00+00:00,3,3,vendredilecture,https://mastodon.social/tags/vendredilecture
2023-12-27 00:00:00+00:00,3,3,vendredilecture,https://mastodon.social/tags/vendredilecture
2023-12-26 00:00:00+00:00,1,1,vendredilecture,https://mastodon.social/tags/vendredilecture
2023-12-25 00:00:00+00:00,0,0,vendredilecture,https://mastodon.social/tags/vendredilecture
2023-12-24 00:00:00+00:00,1,1,vendredilecture,https://mastodon.social/tags/vendredilecture
2023-12-23 00:00:00+00:00,8,8,vendredilecture,https://mastodon.social/tags/vendredilecture
2023-12-29 00:00:00+00:00,116,156,maine,https://mastodon.social/tags/maine
2023-12-28 00:00:00+00:00,9,11,maine,https://mastodon.social/tags/maine
2023-12-27 00:00:00+00:00,5,5,maine,https://mastodon.social/tags/maine
2023-12-26 00:00:00+00:00,8,10,maine,https://mastodon.social/tags/maine
2023-12-25 00:00:00+00:00,7,8,maine,https://mastodon.social/tags/maine
2023-12-24 00:00:00+00:00,6,7,maine,https://mastodon.social/tags/maine
2023-12-23 00:00:00+00:00,7,12,maine,https://mastodon.social/tags/maine
2023-12-29 00:00:00+00:00,28,29,LetterboxdFriday,https://mastodon.social/tags/LetterboxdFriday
2023-12-28 00:00:00+00:00,0,0,LetterboxdFriday,https://mastodon.social/tags/LetterboxdFriday
2023-12-27 00:00:00+00:00,0,0,LetterboxdFriday,https://mastodon.social/tags/LetterboxdFriday
2023-12-26 00:00:00+00:00,1,1,LetterboxdFriday,https://mastodon.social/tags/LetterboxdFriday
2023-12-25 00:00:00+00:00,0,0,LetterboxdFriday,https://mastodon.social/tags/LetterboxdFriday
2023-12-24 00:00:00+00:00,2,2,LetterboxdFriday,https://mastodon.social/tags/LetterboxdFriday
2023-12-23 00:00:00+00:00,6,6,LetterboxdFriday,https://mastodon.social/tags/LetterboxdFriday
2023-12-29 00:00:00+00:00,8,12,lobsteramovie,https://mastodon.social/tags/lobsteramovie
2023-12-28 00:00:00+00:00,174,852,lobsteramovie,https://mastodon.social/tags/lobsteramovie
2023-12-27 00:00:00+00:00,0,0,lobsteramovie,https://mastodon.social/tags/lobsteramovie
2023-12-26 00:00:00+00:00,0,0,lobsteramovie,https://mastodon.social/tags/lobsteramovie
2023-12-25 00:00:00+00:00,0,0,lobsteramovie,https://mastodon.social/tags/lobsteramovie
2023-12-24 00:00:00+00:00,0,0,lobsteramovie,https://mastodon.social/tags/lobsteramovie
2023-12-23 00:00:00+00:00,0,0,lobsteramovie,https://mastodon.social/tags/lobsteramovie
2023-12-29 00:00:00+00:00,26,26,wordle923,https://mastodon.social/tags/wordle923
2023-12-28 00:00:00+00:00,1,2,wordle923,https://mastodon.social/tags/wordle923
2023-12-27 00:00:00+00:00,0,0,wordle923,https://mastodon.social/tags/wordle923
2023-12-26 00:00:00+00:00,0,0,wordle923,https://mastodon.social/tags/wordle923
2023-12-25 00:00:00+00:00,0,0,wordle923,https://mastodon.social/tags/wordle923
2023-12-24 00:00:00+00:00,0,0,wordle923,https://mastodon.social/tags/wordle923
2023-12-23 00:00:00+00:00,0,0,wordle923,https://mastodon.social/tags/wordle923
